token,path,amount_in,amount_out,amount_path,profit
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5, 0xa478c2975ab1ea89e8196811f51a7b7ade33eb11",34338074408866,33976443161349,"[34338074408866, 71203, 70952801815848303, 33976443161349]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5, 0xb20bd5d04be54f870d5c0d3ca85d82b34b836405, 0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852",34338074408866,33851318710866,"[34338074408866, 71203, 70952801815848303, 70601, 33851318710866]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5, 0x517f9dd285e75b599234f7221227339478d0fcc8, 0xc2adda861f89bbb333c90c492cb837741916a225",34338074408866,34044715332111,"[34338074408866, 71203, 70952801815848303, 53422394883950, 34044715332111]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5, 0x1d1126cc2c77384448913b41fbf308563aae1f16, 0x582e3da39948c6339433008703211ad2c13eb2ac",21616937780932255744,50696267767773547524,"[21616937780932255744, 44751936934, 44411999320916946348624, 18294833230221, 50696267767773547524]",29079329986841291780
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5, 0x9bd82673c50acb4a3b883d61e070a3c8d9b08e10, 0x23d15edceb5b5b3a23347fa425846de80a2e8e5c",34338074408866,33711282365394,"[34338074408866, 71203, 70952801815848303, 14748324960048639, 33711282365394]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5, 0x896eebeb02f81445f5a88ff7884af8d937294ee8, 0xa21ece44cc5dac03e3805362bd3f68f22a49ea1e",34338074408866,33623151090101,"[34338074408866, 71203, 70952801815848303, 1945965400495137383, 33623151090101]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xae461ca67b15dc8dc81ce7615e0320da1a9ab8d5, 0x5522c339d35a6c3e5f328c8746bdf88f599dab83, 0x4a7d4be868e0b811ea804faf0d3a325c3a29a9ad",34338074408866,33586878346458,"[34338074408866, 71203, 70952801815848303, 829209166871271681, 33586878346458]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0xf6dcdce0ac3001b2f67f750bc64ea5beb37b5824, 0x55d5c232d921b9eaa6b37b5845e439acd04b4dba",5767974935432678,5769135584091822,"[5767974935432678, 11960546, 148395111391, 5769135584091822]",1160648659144
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0xbb2b8038a1640196fbe3e38816f3e67cba72d940",34338074408866,34108322782505,"[34338074408866, 71203, 191, 34108322782505]",0
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,"0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc, 0x004375dff511095cc5a197a54140a24efef3a416, 0x9f8d8df26d5ab71b492ddce9799f432e36c289df, 0x8d50d0fd88016ea63229e432803db4069c40db09",34338074408866,32887884160899,"[34338074408866, 71203, 191, 1815287840691, 32887884160899]",0
